		"DOTA_Tooltip_ability_example_ability"									"Detonation"
		"DOTA_Tooltip_ability_example_ability_Description"						"Detonator channels a charge and releases an explosion around the caster if the channel is successful, dealing damage and knocking back all enemies in range of the explosion"
		"DOTA_Tooltip_ability_example_ability_Lore"								""
		"DOTA_Tooltip_ability_example_ability_duration"							"DURATION:"
		"DOTA_Tooltip_ability_example_ability_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_example_ability_distance"							"KNOCKBACK DISTANCE:"
		"DOTA_Tooltip_ability_example_ability_height"							"KNOCKBACK HEIGHT:"
		"DOTA_Tooltip_ability_example_ability_damage"                           "DAMAGE:"

		"DOTA_Tooltip_ability_reflex_dummy_unit"                                          "Reflex Dummy Unit"
		"DOTA_Tooltip_ability_reflex_dummy_unit_Description"                              ""
		"DOTA_Tooltip_ability_reflex_dummy_unit_Note0"                                    ""
		"DOTA_Tooltip_ability_reflex_dummy_unit_Lore"                                     ""

		"DOTA_Tooltip_ability_reflex_empty1"                                              "Reflex Empty1"
		"DOTA_Tooltip_ability_reflex_empty1_Description"                                  ""
		"DOTA_Tooltip_ability_reflex_empty1_Note0"                                        ""
		"DOTA_Tooltip_ability_reflex_empty1_Lore"                                         ""

		"DOTA_Tooltip_ability_reflex_empty2"                                              "Reflex Empty2"
		"DOTA_Tooltip_ability_reflex_empty2_Description"                                  ""
		"DOTA_Tooltip_ability_reflex_empty2_Note0"                                        ""
		"DOTA_Tooltip_ability_reflex_empty2_Lore"                                         ""

		"DOTA_Tooltip_ability_reflex_empty3"                                              "Reflex Empty3"
		"DOTA_Tooltip_ability_reflex_empty3_Description"                                  ""
		"DOTA_Tooltip_ability_reflex_empty3_Note0"                                        ""
		"DOTA_Tooltip_ability_reflex_empty3_Lore"                                         ""

		"DOTA_Tooltip_ability_reflex_empty4"                                              "Reflex Empty4"
		"DOTA_Tooltip_ability_reflex_empty4_Description"                                  ""
		"DOTA_Tooltip_ability_reflex_empty4_Note0"                                        ""
		"DOTA_Tooltip_ability_reflex_empty4_Lore"                                         ""

		"DOTA_Tooltip_ability_reflex_empty5"                                              "Reflex Empty5"
		"DOTA_Tooltip_ability_reflex_empty5_Description"                                  ""
		"DOTA_Tooltip_ability_reflex_empty5_Note0"                                        ""
		"DOTA_Tooltip_ability_reflex_empty5_Lore"                                         ""

		"DOTA_Tooltip_ability_reflex_empty6"                                              "Reflex Empty6"
		"DOTA_Tooltip_ability_reflex_empty6_Description"                                  ""
		"DOTA_Tooltip_ability_reflex_empty6_Note0"                                        ""
		"DOTA_Tooltip_ability_reflex_empty6_Lore"                                         ""

        "DOTA_Tooltip_Ability_fantasy_seal"  "Fantasy Seal"  
        "DOTA_Tooltip_Ability_fantasy_seal_Description"  "Launches 5 spirit bullets at target enemy, dealing physical damage that decreases with distance traveled."
        "DOTA_Tooltip_Ability_fantasy_seal_Note0" "There is a 0.25 second delay between each bullet."
        "DOTA_Tooltip_Ability_fantasy_seal_Lore" "One of Reimu's signature moves, bullets of light defy the laws of nature to capture and exterminate Youkai."
        "DOTA_Tooltip_Ability_fantasy_seal_Max_Damage"    "MAXIMUM DAMAGE PER BULLET:"
        "DOTA_Tooltip_Ability_fantasy_seal_Min_Damage"    "MINIMUM DAMAGE PER BULLET:"
        "DOTA_Tooltip_Ability_fantasy_seal_Max_Damage_Distance"    "MAXIMUM DAMAGE DISTANCE:"
        "DOTA_Tooltip_Ability_fantasy_seal_Min_Damage_Distance"    "MINIMUM DAMAGE DISTANCE:"

        "DOTA_Tooltip_Ability_duplex_barrier"  "Duplex Barrier"
        "DOTA_Tooltip_Ability_duplex_barrier_Description"  "Summons two barriers around Reimu that follow her. The outer barrier deals magical damage to all enemies the first time they pass through it, and slows the movement of enemies inside it. The inner barrier deals a greater amount of magical damage and slows attack speed. Enemies that pass through both barriers are stunned."
        "DOTA_Tooltip_Ability_duplex_barrier_Note0"    "Enemies inside both barriers will have both their attack and movement speed slowed."
        "DOTA_Tooltip_Ability_duplex_barrier_Note1"    "The slows linger for 0.5 seconds."
        "DOTA_Tooltip_Ability_duplex_barrier_Lore"    "Turning space inside-out, Reimu traps her foes inside a world with no boundary."
        "DOTA_Tooltip_Ability_duplex_barrier_Outer_Barrier_Damage"    "Outer Magical Damage:"
        "DOTA_Tooltip_Ability_duplex_barrier_Inner_Barrier_Damage"    "Inner Magical Damage:"
        "DOTA_Tooltip_Ability_duplex_barrier_Movespeed_Slow"    "Move Speed Slow:"
        "DOTA_Tooltip_Ability_duplex_barrier_Attackspeed_Slow"    "Attack Speed Slow"
        "DOTA_Tooltip_Ability_duplex_barrier_Stun_Duration"    "Stun Duration:"
        "DOTA_Tooltip_Ability_duplex_barrier_Barrier_Duration"    "Barrier Duration:"
       
        "DOTA_Tooltip_Ability_yin_yang_orbs"  "Yin Yang Orbs"  
        "DOTA_Tooltip_Ability_yin_yang_orbs_Description"    "Reimu’s attacks cleave and launch an orb that bounces between enemies, slowing their movement by 20%. Enemies that are already slowed by a different effect are silenced."
        "DOTA_Tooltip_Ability_yin_yang_orbs_Note0"    "The orbs bounce on and off spell immune units and slow, but don’t silence."
        "DOTA_Tooltip_Ability_yin_yang_orbs_Lore" "With her trusty purification rod and a supply of blessed orbs, there is no incident that Hakurei's Shrine Maiden cannot solve."
        "DOTA_Tooltip_Ability_yin_yang_orbs_Cleave_Radius"    "Cleave Radius:"
        "DOTA_Tooltip_Ability_yin_yang_orbs_Cleave_Percent"    "Cleave Percent:"
        "DOTA_Tooltip_Ability_yin_yang_orbs_Slow_Duration"    "Slow Duration:"
        "DOTA_Tooltip_Ability_yin_yang_orbs_Silence_Duration"    "Silence Duration:"
        "DOTA_Tooltip_Ability_yin_yang_orbs_Bounces"    "Orb Bounces:"
