		"DOTA_Tooltip_modifier_dance_recastable"  "Hanuman's Dance"
		"DOTA_Tooltip_modifier_dance_recastable_Description"  "Future casts of Hanuman's Dance will have increased AOE and damage."

		"DOTA_Tooltip_modifier_vajrapanis_charges"	"Charges
		"DOTA_Tooltip_modifier_vajrapanis_charges_Description"	"Byakuren can cast abilities while she has charges remaining."

		"DOTA_Tooltip_modifier_pulled"	"Indra's Thunder"
		"DOTA_Tooltip_modifier_pulled_Description"	"Being pulled to the center of the circle of beads."

		"DOTA_Tooltip_modifier_casting"	 "Durga's Soul Charging"
		"DOTA_Tooltip_modifier_casting_Description"	 "Immune to all damage and disables."

		"DOTA_Tooltip_modifier_pulled"	"Virudhaka's Sword"
		"DOTA_Tooltip_modifier_pulled_Description"	"Being pulled to the target of the spear."
		"DOTA_Tooltip_modifier_impaled"	 "Impaled"
		"DOTA_Tooltip_modifier_impaled_Description"	 "Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."
		"DOTA_Tooltip_modifier_light_fragment"	"Light Fragment"
		"DOTA_Tooltip_modifier_light_fragment_Description"	"This unit has a light fragment attached, allowing Byakuren to see them."

		"DOTA_Tooltip_modifier_duplex_barrier_movespeed_slow"  "Duplex Barrier Movement Slow"
		"DOTA_Tooltip_modifier_duplex_barrier_movespeed_slow_Description"  "Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."
		"DOTA_Tooltip_modifier_duplex_barrier_attackspeed_slow"	 "Duplex Barrier Attack Speed Slow"
		"DOTA_Tooltip_modifier_duplex_barrier_attackspeed_slow_Description"	 "Attack speed slowed by %MODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_duplex_barrier_stunned"	"Duplex Barrier Stun"
		"DOTA_Tooltip_modifier_duplex_barrier_stunned_Description"	"Bad touch! On both walls."

		"DOTA_Tooltip_modifier_yin_yang_orbs_slow"	"Yin Yang Slow"
		"DOTA_Tooltip_modifier_yin_yang_orbs_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."
		"DOTA_Tooltip_modifier_yin_yang_orbs_silence"  "Yin Yang Silence"
		"DOTA_Tooltip_modifier_yin_yang_orbs_silence_Description"  "Silenced."

		"DOTA_Tooltip_modifier_fantasy_nature"	"Fantasy Nature"
		"DOTA_Tooltip_modifier_fantasy_nature_Description"	"Immune to physical damage while dealing physical damage each second."

		"DOTA_Tooltip_modifier_macroburst_untoggled"  "Tengu's Macroburst"
		"DOTA_Tooltip_modifier_macroburst_untoggled_Description"  "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."
		"DOTA_Tooltip_modifier_macroburst_remaining_distance"  "Preparing Macroburst"
		"DOTA_Tooltip_modifier_macroburst_remaining_distance_Description"  "Distance remaining to ready a gust."
		"DOTA_Tooltip_modifier_macroburst_ready"  "Macroburst Ready"
		"DOTA_Tooltip_modifier_macroburst_ready_Description"  "The black wind howls."

		"DOTA_Tooltip_modifier_wind_gods_fan_bonus_movespeed"  "Wind God's Fan"
		"DOTA_Tooltip_modifier_wind_gods_fan_bonus_movespeed_Description"  "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."
		"DOTA_Tooltip_modifier_wind_gods_fan_bonus_damage"	"Wind God's Wrath"
		"DOTA_Tooltip_modifier_wind_gods_fan_bonus_damage_Description"	"Gives Aya %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage."
		
		"DOTA_Tooltip_modifier_illusionary_dominance"  "Illusionary Dominance"
		"DOTA_Tooltip_modifier_illusionary_dominance_Description"  "Fly like a butterfly."
		"DOTA_Tooltip_modifier_illusionary_dominance_accelerating"	"Illusionary Speed"
		"DOTA_Tooltip_modifier_illusionary_dominance_accelerating_Description"	"Dash travel speed increased and cooldown decreased."

		"DOTA_Tooltip_modifier_peerless_wind_god"  "Peerless Wind God"
		"DOTA_Tooltip_modifier_peerless_wind_god_Description"  "Sting like a bee."

		"DOTA_Tooltip_modifier_master_spark"  "Master Spark"
		"DOTA_Tooltip_modifier_master_spark_Description"  "It's not magic if it ain't flashy."
		"DOTA_Tooltip_modifier_master_spark_slow"  "Master Spark Movement Slow"
		"DOTA_Tooltip_modifier_master_spark_slow_Description"  "Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."

		"DOTA_Tooltip_modifier_Blazing_Star"  "Blazing Star"
		"DOTA_Tooltip_modifier_Blazing_Star_Description"  "What a drag!"

		"DOTA_Tooltip_modifier_final_spark"	 "Final Spark"
		"DOTA_Tooltip_modifier_final_spark_Description"	 "It's all about firepower!"
		"DOTA_Tooltip_modifier_final_spark_stun"  "Final Spark Stun"
		"DOTA_Tooltip_modifier_final_spark_stun_Description"  "Feeling the love."
		"DOTA_Tooltip_modifier_final_spark_bonus_damage"  "Final Spark Vulnerability"
		"DOTA_Tooltip_modifier_final_spark_bonus_damage_Description."  "Each stack increases damage taken from Final Spark."
		
		"DOTA_Tooltip_modifier_Double_Spark"  "Double Spark"
		"DOTA_Tooltip_modifier_Double_Spark_Description"  "Always give it your all."
		"DOTA_Tooltip_modifier_Double_Spark_Move_Speed_Slow"  "Double Spark Movement Slow"
		"DOTA_Tooltip_modifier_Double_Spark_Move_Speed_Slow_Description"  "Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."
