    "DOTA_Tooltip_Ability_Moonlight_Ray"  "Moonlight Ray"
    "DOTA_Tooltip_Ability_Moonlight_Ray_Description"  "Pierces enemies with dark light that deals magical damage and slows movement for 4 seconds. If Rumia loses vision of them during the slow, they take additional magical damage."
    "DOTA_Tooltip_Ability_Moonlight_Ray_Lore"  "After dusk, Gensokyo's travelers often witness strange flashes of light, attracting the foolhardy and naive."
    "DOTA_Tooltip_Ability_Moonlight_Ray_Damage"  "DAMAGE:"
    "DOTA_Tooltip_Ability_Moonlight_Ray_Bonus_Damage"  "ADDITIONAL DAMAGE:"
    "DOTA_Tooltip_Ability_Moonlight_Ray_Slow"  "MOVE SPEED SLOW:"
    
    "DOTA_Tooltip_Ability_Dark_Side_of_the_Moon"  "Dark Side of the Moon"
    "DOTA_Tooltip_Ability_Dark_Side_of_the_Moon_Description"  "Launches a sphere that detonates 1 second after arriving at its destination, dealing magical damage. Enemies that Rumia had no vision of take doubled damage."
    "DOTA_Tooltip_Ability_Dark_Side_of_the_Moon_Lore"  "Apparitions stalk the night, weakening Rumia's prey in exchange for the first bite."
    "DOTA_Tooltip_Ability_Dark_Side_of_the_Moon_Damage"  "DAMAGE:"
    "DOTA_Tooltip_Ability_Dark_Side_of_the_Moon_Radius"  "RADIUS:"
    
    "DOTA_Tooltip_Ability_Demarcation"  "Demarcation"
    "DOTA_Tooltip_Ability_Demarcation_Description"  "Enchants the ground around Rumia for 8 seconds, increasing her movement speed on it. Whenever an enemy in the area receives magical damage from a different ability, they take additional magical damage and are rooted briefly for a maximum of 4 times."
    "DOTA_Tooltip_Ability_Demarcation_Note0"  "The damage and root has a cooldown of 0.5 seconds for each enemy."
    "DOTA_Tooltip_Ability_Demarcation_Lore"  "From the silent scent of blood, foreboding assails those who enter a youkai's hunting grounds."
    "DOTA_Tooltip_Ability_Demarcation_Damage"  "DAMAGE:"
    "DOTA_Tooltip_Ability_Demarcation_Root_Duration"  "ROOT DURATION:"
    "DOTA_Tooltip_Ability_Demarcation_Movespeed_Bonus"  "MOVE SPEED BONUS:"
    
    "DOTA_Tooltip_Ability_Midnight_Bird"  "Midnight Bird"
    "DOTA_Tooltip_Ability_Midnight_Bird_Description"  "Rumia hides in a mass of darkness, becoming invulnerable and hidden at the cost of vision. She can cast her abilities, but can't use items or attack, and right-clicking heroes drags them into the darkness instead. Enemy heroes take magical damage when they are ejected from the dark. Can be canceled early."
    "DOTA_Tooltip_Ability_Midnight_Bird_Note0"  "Sight range can neither be increased nor decreased, and shared vision is lost. Heroes dragged into the darkness are affected as well."
    "DOTA_Tooltip_Ability_Midnight_Bird_Note1"  "The damage bonus from Aghanim's Scepter includes Rumia and is applied on the ejcection damage."
    "DOTA_Tooltip_Ability_Midnight_Bird_Lore"  "No sun can penetrate the darkness Rumia creates."
    "DOTA_Tooltip_Ability_Midnight_Bird_Duration"  "DURATION:"
    "DOTA_Tooltip_Ability_Midnight_Bird_Damage"  "DAMAGE:"
    "DOTA_Tooltip_Ability_Midnight_Bird_Radius"  "SIGHT RANGE:"
    "DOTA_Tooltip_Ability_Midnight_Bird_Pull_Range"  "DRAG RANGE:"
    "DOTA_Tooltip_Ability_Midnight_Bird_Mana_Cost_Scepter"  "SCEPTER MANA COST:"
    "DOTA_Tooltip_Ability_Midnight_Bird_Aghanim_Description"  "Removes mana cost. On cast, all damage Rumia deals is increased per hero pulled into the dark for 12 seconds."
